attempt_id,poll_type,poll_type_2,poll_id,poll_source,course_id,course_session_id,on_demand_session_id,evaluation_id,classroom_activity_id,is_course_session_deleted,poll_answered,poll_seen,user_id,question_type,question_id,question_text,question_image_flag,question_format,show_correct_answer,choice_type,selected_choice_id,submitted_choice_text,correct_choice_id,is_correct_answer,poll_start_time,poll_end_time,poll_duration,total_choices_selected,creator_id,is_poll_deleted,poll_created_at,poll_updated_at,choice_submitted_at,rn,,,,,,,,,,,
mcq15193939,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647426,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428917,,1428917,1,12/16/25 6:05,12/16/25 6:06,98,6,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:06,1,,,,,,,,,,,
mcq15193868,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647404,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428917,,1428917,1,12/16/25 6:04,12/16/25 6:05,48,2,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:05,1,,,,,,,,,,,
mcq15193841,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647306,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428916,,1428917,0,12/16/25 6:05,12/16/25 6:06,49,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:06,1,,,,,,,,,,,
mcq15194266,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,652933,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428915,,1428917,0,12/16/25 6:08,12/16/25 6:08,4,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:08,1,,,,,,,,,,,
mcq15193714,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,652934,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428916,,1428917,0,12/16/25 6:04,12/16/25 6:04,11,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:04,1,,,,,,,,,,,
mcq15193778,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,652958,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428915,,1428917,0,12/16/25 6:04,12/16/25 6:05,12,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:05,1,,,,,,,,,,,
mcq15193782,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,651452,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428915,,1428917,0,12/16/25 6:04,12/16/25 6:05,13,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:05,1,,,,,,,,,,,
mcq15193732,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,648959,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428915,,1428917,0,12/16/25 6:04,12/16/25 6:04,6,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:04,1,,,,,,,,,,,
mcq15193927,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,648953,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428915,,1428917,0,12/16/25 6:06,12/16/25 6:06,2,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:06,1,,,,,,,,,,,
mcq15193794,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647496,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428914,,1428917,0,12/16/25 6:04,12/16/25 6:05,28,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:05,1,,,,,,,,,,,
mcq15193756,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647411,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428914,,1428917,0,12/16/25 6:04,12/16/25 6:05,72,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:05,1,,,,,,,,,,,
mcq15193763,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,657525,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428914,,1428917,0,12/16/25 6:04,12/16/25 6:05,27,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:05,1,,,,,,,,,,,
mcq15194040,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647739,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428916,,1428917,0,12/16/25 6:07,12/16/25 6:08,74,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:08,1,,,,,,,,,,,
mcq15193770,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,647433,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428914,,1428917,0,12/16/25 6:04,12/16/25 6:06,80,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:06,1,,,,,,,,,,,
mcq15193700,mcq,TEAM_EXERCISE,342120,course session,14796,70690,,,148837,0,1,1,652940,has correct answer,367083,أوجد مساحة الدائرة&nbsp;,1,image and text,1,MCQ,1428914,,1428917,0,12/16/25 6:04,12/16/25 6:04,12,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 6:04,1,,,,,,,,,,,
mcq15189312,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647748,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265054,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,4,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189225,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647496,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265052,,1265052,1,12/16/25 5:38,12/16/25 5:39,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189227,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,0,0,652938,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,-1,,1265052,,12/16/25 5:38,12/16/25 5:38,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15189238,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,647504,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265053,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,1,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189315,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,648986,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265051,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,2,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189319,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,1,1,648959,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,1265051,,1265052,0,12/16/25 5:38,12/16/25 5:39,60,4,557612,0,12/11/25 10:35,12/11/25 10:35,12/16/25 5:39,1,,,,,,,,,,,
mcq15189228,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,0,0,647404,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,-1,,1265052,,12/16/25 5:38,12/16/25 5:38,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
mcq15189229,mcq,SECTION_CHECK,342127,course session,14796,70690,,,148841,0,0,0,652929,has correct answer,323256,أوجد محيط المثلث ؟,1,image and text,0,MCQ,-1,,1265052,,12/16/25 5:38,12/16/25 5:38,,0,557612,0,12/11/25 10:35,12/11/25 10:35,,1,,,,,,,,,,,
